,Unnamed: 0,name,latitude,longitude,is_similar
0,0,kbyJYJzqEVkEmpc,13.02286004,77.68891136,0.0
1,1,qbgufTPzZEkxNHV,13.09367482,77.70277883,0.0
2,2,XWIXkuyDacCmsaE,12.90287865,77.63320683,0.0
3,3,PWMPzEhgQSIJFtLl,12.8645325,77.7314355,1.0
4,4,PWMPzEhgQSIJFtL,12.86532117,77.731473,1.0
5,5,MHveToenbpcMPeW,13.07045602,77.61095505,0.0
6,6,WItnvWIntfoiilf,13.00235581,77.68354834,0.0
7,7,DPjNIjFDGUdRaNP,12.9826549,77.59337744,0.0
8,8,SMLuzwDVgJxZDJm,13.06528184,77.47249963,0.0
9,9,vAbbuCYbFLCXICj,12.99046323,77.67294948,0.0
10,10,rLfczOfLhEoRnGZ,12.90993785,77.68557472,0.0
11,11,edieHBeImKgBQAJ,12.93895913,77.46586954,0.0
12,12,GOwLhWmXEfYOmVX,12.90129114,77.67374439,0.0
13,13,orOQKFbRAoHeqcJ,12.88925228,77.59694537,0.0
14,14,CdWAxHeYVjKBRoq,13.09373823,77.71307804,0.0
15,15,lqKiDFBZBTWUez,12.9832613,77.67860108,1.0
16,16,lqKiDFBZBTWXUez,12.98372613,77.67840868,1.0
17,17,eNmJDTcGphYUOiL,12.90105405,77.72835217,0.0
18,18,sjislLxiXZmXLXrA,12.87368879,77.50616776,1.0
19,19,sjislLxiXZmXLXr,12.87407949,77.50552922,1.0
20,20,PMiOQVrAkdXaIku,12.99914347,77.62427096,0.0
21,21,tnbuHQPEFCTHbM,12.9908439,77.54405971,1.0
22,22,KtnbuHQPEFCTHbM,12.99117668,77.54470054,1.0
23,23,XLAftyVglwWYsGW,12.91219248,77.73902379,0.0
24,24,rZxvAzqBqmxjOvp,13.08241912,77.497992,0.0
25,25,zQDGraifUKPvJXrh,12.91248614,77.71990941,1.0
26,26,zQDGraifUKPvJXr,12.91209029,77.7206106,1.0
27,27,nDUUMkFmhvWSeKA,12.99938553,77.52447073,0.0
28,28,pTSAacswfCkLTrH,12.87880896,77.59037238,0.0
29,29,LnDIkeWZGiDzBbG,12.95153959,77.47294797,0.0
30,30,ChJfRzoluYXLLJA,12.88827506,77.60459364,0.0
31,31,SwTyWHAtgBNNwyO,12.98394737,77.65270791,0.0
32,32,kpkmIKHoUVIufgD,12.9889333,77.61358867,0.0
33,33,IcpEXtdzmmRLCWr,12.87866622,77.58388551,0.0
34,34,AjpQlKTWzTIbhZR,12.99508017,77.65264226,0.0
35,35,fsJxXgslhutMiTc,12.897211,77.54057681,0.0
36,36,KdyidcbCRDnYnmN,12.87863063,77.61571364,0.0
37,37,QFXbeahTXokzxXE,12.86595646,77.73823206,0.0
38,38,IcDAjGOxTMfSHPF,13.0092438,77.47278516,0.0
39,39,TVAaGCcKLfPKBSc,13.03836496,77.65188766,0.0
40,40,ZqYiEiXtnNdnMQd,12.89039654,77.5117872,0.0
41,41,skziWqCsJpYkKUr,13.05053952,77.56446451,0.0
42,42,EzXfmMXrcmOPODa,13.0945611,77.70123553,0.0
43,43,osLsWAOQUdGDZYQ,12.99680431,77.67688771,0.0
44,44,xaxGBTpqceCpeQo,13.08241774,77.48956202,0.0
45,45,vowfjrCAhFjsuFU,13.09463521,77.67534984,0.0
46,46,sTPYKDcRDklHquz,13.06009716,77.52928022,0.0
47,47,hERpHEmvMnatBqq,12.95768668,77.44905194,0.0
48,48,lwzJQhDNjFeZaGu,13.0839943,77.64385893,0.0
49,49,ZtGYasvPbFraLKt,12.94126663,77.45607967,0.0
50,50,scHiTOxyvnkkeoK,13.07936441,77.54146126,0.0
51,51,kDCpRTCvAAxSHki,12.92046669,77.46194735,0.0
52,52,IiUaIKLepwZKsK,12.91042244,77.59244421,1.0
53,53,IiUaIKLepwZlKsK,12.91128729,77.59196144,1.0
54,54,YThcnZeITZSBWti,13.06170419,77.46981109,0.0
55,55,UGMWtjvSRqgJVnG,13.01752895,77.62423508,0.0
56,56,OUidkjxBLedTuHH,13.04162785,77.72598449,0.0
57,57,izdTHTBEbYaEgOX,13.03365163,77.71765686,0.0
58,58,PUEPIdrCLOanVoe,12.99804691,77.62951875,0.0
59,59,AHzXGncOYekvbc,12.90672149,77.70340274,1.0
60,60,AHzXGncOYekMvbc,12.90589412,77.70314404,1.0
61,61,wUimqZxiywwEpgW,12.87009716,77.56142216,0
62,62,WmrWTJjSeoDNKrY,13.05255403,77.72506752,0
63,63,PSKniQjkACaYDAF,12.85464227,77.51795987,0
64,64,ldVvnlZYRRQIARe,13.00623614,77.6487661,0
65,65,zXFOuQMpUCQNvwN,13.00147581,77.55459404,0
66,66,cfCcavzCtxehzgB,13.01635107,77.7140458,0
67,67,bYYGjWYrhFUbeMw,13.09147894,77.64326137,0
68,68,RDRnTMfmYfSiWLa,12.87342627,77.59219469,0
69,69,DkRreiaFouYeugQi,13.02865939,77.50803626,1.0
70,70,DkRreiaFouYeugQ,13.02849588,77.50866651,1.0
71,71,UhTpjPyNxMNPLTu,12.96433664,77.61389929,0
72,72,ZMBcVAKMKMvEWGe,13.08047196,77.54533922,0
73,73,FJPspVZZjtCpGhD,12.96395796,77.58372001,0
74,74,VVYyShvmxawkABS,12.99987048,77.55501223,0
75,75,FtLcazuLGZorHIp,12.90432594,77.56540886,0
76,76,QXhfUHXfnEuMLzK,12.86915746,77.55454983,0
77,77,MOevNigvbIPFlIw,12.90516803,77.53557985,0
78,78,yedOHCLujmIAmrw,12.87589629,77.53438208,0
79,79,yEBaScGavnPNhaO,12.98390381,77.67301246,0
80,80,gbxCPStfxHtqGPj,12.89011083,77.69536264,0
81,81,xUkXBAtfaYztalY,12.86661776,77.70629123,0
82,82,LkdKFkvwYOizHhG,13.07524687,77.67856557,0
83,83,aXvBGKUTNkPDxiFC,12.98073315,77.5255609,1.0
84,84,aXvBGKUTNkPDxiF,12.98167558,77.52547079,1.0
85,85,SdxKQfPDkfXEQK,12.9300119,77.64535691,1.0
86,86,SGdxKQfPDkfXEQK,12.92977862,77.64581473,1.0
87,87,rkWeIcJsMGhJvVj,12.90985126,77.58992159,0
88,88,faGJXWFYNHSPmtc,12.92943032,77.50693087,0
89,89,QZWPyfoWhsGVegx,12.96152179,77.57741533,0
90,90,gimvnlEtvGcieTP,12.85855872,77.51094535,0
91,91,kUeXLNDvRBgMgJ,12.90268571,77.46886737,1.0
92,92,kUeXLNDkvRBgMgJ,12.90363218,77.46820674,1.0
93,93,zMnIJyjWeDzIiFN,12.92184234,77.69292737,0
94,94,JJppBmEBESHHEKM,12.97348296,77.60259963,0
95,95,iLozbVApJSXmlET,12.88619366,77.73511735,0
96,96,qRkXfDsDXmkPhiV,13.06470297,77.49609752,0
97,97,djfMAJHQMwctzlr,12.86597709,77.71936637,0
98,98,aTVCnxWtroJHYze,12.90899347,77.56406846,0
99,99,KUDVyRreQFprfGM,13.05255686,77.49718136,0
100,100,oghZJueuCoOVFFb,12.88511467,77.5295542,0
101,101,qwyZbldyIiMwAtX,13.09523598,77.7012832,0
102,102,mdwjLVCzawRJRbF,12.98897033,77.66838579,0
103,103,ubwcOdJpSzYjTsq,12.95573753,77.61363584,0
104,104,tjMQLReAgmwYMHS,13.0622491,77.51225827,0
105,105,WVmetzSiurfiAUL,12.91256116,77.4526941,0
106,106,ozDTqvwhYQBROfD,13.05794787,77.49674734,0
107,107,kevkYpwoeByGkFr,12.94299412,77.54395973,0
108,108,dMUDcoSkcZbFKdV,12.87697772,77.65820071,0
109,109,kAbqVgEBpxFnneeo,12.96097507,77.57004912,1.0
